Site,Date,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,FCW_Number,Year,site_code,Lat,Long,location,Campaign,watershed,status,Buffer_Level,Watershed_Level,distance_upstream_km,season,Distance,Xdistance,order
Poudre Above Joe Wright,4/26/21,NA,0,NA,4.37,0.65,6.97,340.96,40.27,2.1,0.01,0.99,1.07,3.98,0.1,0.71,0.34,0,2.27,285,2021,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
JWC-Joe Wright @ Aspen Glen Campground,4/26/21,NA,NA,NA,3.6,0.24,7.2,537.61,54.07,1.75,0.02,0.81,1.34,5.79,0.05,0.92,0.06,0,2.5,284,2021,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre Below Rustic,4/26/21,NA,NA,NA,3.78,0.22,7.63,623.79,63.29,2.78,0.01,0.91,1.82,5.35,0.06,1.38,0.12,0,2.91,287,2021,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above North Fork,4/26/21,NA,NA,NA,5.58,0.33,7.48,708.45,97.46,4.25,0.01,1.01,1.92,10.55,0.1,3.01,0.48,0,5.34,292,2021,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,4/26/21,NA,NA,NA,4.48,0.22,7.55,484.99,58.75,2.94,0.01,0.84,1.78,5.95,0.11,1.45,0.12,0,3.2,290,2021,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Poudre South Fork,4/26/21,NA,NA,NA,4.62,0.4,7.25,382.84,51.62,2.91,0.01,0.86,1.24,4.88,0.07,0.8,0.59,0,3.65,289,2021,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Barnes Meadow Outflow,5/3/21,9,8.21,NA,10.05,0.73,7.01,142.61,56.42,3.06,0.08,0.92,0.76,5.44,0.06,1.38,0.12,0,14.54,323,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Chambers Inlet,5/3/21,1.6,2.2,NA,5.23,0.52,7.36,112.21,49.14,1.84,0.01,0.85,1.01,4.85,0.06,0.59,0.8,0,13.72,321,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Outflow,5/3/21,1,0.11,NA,2.96,0.28,7.1,470.21,64.36,2.33,0.02,0.84,1.34,6.04,0.07,0.99,0.26,0,8.42,322,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Poudre Above Joe Wright,5/3/21,3,3,NA,6.62,0.53,7.07,269.79,56.5,1.85,0.01,0.87,1.01,4.32,0.07,1.83,0.62,0,13.13,325,2021,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
JWC-Joe Wright @ Aspen Glen Campground,5/3/21,NA,NA,NA,5.85,0.8,7.28,501.23,80.42,1.49,0.02,0.94,1.42,7.23,0.07,4.73,0.16,0,14.47,324,2021,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre Below Rustic,5/3/21,NA,NA,NA,6.4,0.51,7.3,475.88,73.28,2.4,0.01,0.88,1.74,6.2,0.08,2.45,0.48,0,14.19,327,2021,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above North Fork,5/3/21,NA,NA,NA,7.51,0.48,7.41,568.64,95.41,3.22,0.01,0.95,1.93,10.29,0.17,5.02,0.58,0,12.1,332,2021,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,5/3/21,NA,NA,NA,7,0.45,7.35,514.77,72.28,2.54,0.02,0.87,1.69,6.09,0.11,2.26,0.5,0,12.9,329,2021,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Poudre South Fork,5/3/21,NA,NA,NA,7.41,0.5,7.17,386.67,61.05,1.8,0.01,0.74,1.29,5.01,0.14,1.94,0.45,0,11.58,328,2021,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Barnes Meadow Outflow,5/10/21,5.5,8,NA,9.28,0.66,7.14,702.12,97.33,1.31,0.08,1.07,1.5,9.59,0.05,2.37,0.35,0.09,23.68,347,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Chambers Inlet,5/10/21,1.75,1,NA,4.2,0.39,7.16,469.68,65.04,1.46,0.01,0.83,1.06,6.19,0.06,2.15,0.74,0.1,11.22,345,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Outflow,5/10/21,1.25,2,NA,3.34,0.34,7.02,465.58,62.25,1.01,0.02,0.77,1.16,5.74,0.06,1.53,0.66,0.05,9.4,346,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Poudre Above Joe Wright,5/10/21,2.4,2,NA,5.99,0.46,7.27,259.18,53.96,1.44,0.03,0.74,1.04,4.77,0.07,1.38,0.69,0.05,11.89,349,2021,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
JWC-Joe Wright @ Aspen Glen Campground,5/10/21,NA,NA,NA,5.98,0.46,7.59,520.87,90.36,1.33,0.02,1.09,1.56,9.9,0.06,4.68,0.07,0.04,13.79,348,2021,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre Below Rustic,5/10/21,NA,NA,NA,5.82,0.38,7.55,480.16,74.17,2.32,0.02,0.84,1.55,6.18,0.07,3.01,0.48,0.06,13.8,352,2021,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above North Fork,5/10/21,NA,NA,NA,6.43,0.43,7.46,639.51,87.2,1.98,0.01,0.9,1.76,7.09,0.16,4.54,0.57,0.05,12.23,356,2021,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,5/10/21,NA,NA,NA,5.68,0.39,7.29,484.91,70.93,1.99,0.02,0.83,1.58,6.22,0.1,2.01,0.47,0.07,12.95,354,2021,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Poudre South Fork,5/10/21,NA,NA,NA,6.58,0.53,8.04,483.69,59.35,1.76,0.02,0.68,1.31,5.08,0.13,1.46,0.41,0.07,10.98,353,2021,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Barnes Meadow Outflow,5/17/21,3.4,7.92,NA,9.61,0.8,7.77,795.89,103.53,1.85,0.21,1.33,1.83,10.98,0.05,1.99,0.56,0.33,26.93,383,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Chambers Inlet,5/17/21,0.8,0,NA,4.82,0.46,7.44,445.48,65.93,1.5,0.01,1.03,1.51,7.82,0.05,1.49,0.8,0.31,11.04,381,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Outflow,5/17/21,3,8,NA,4.2,0.36,7.46,484.32,64.08,1.47,0.03,0.93,1.29,6.07,0.05,1.66,0.51,0.27,8.52,382,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Poudre above Joe Wright,5/17/21,2.5,8.91,NA,5.97,0.43,7.13,204.82,47.86,1.15,0.03,0.82,1.14,4.83,0.05,1.16,0.71,0.03,10.62,385,2021,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
JWC-Joe Wright @ Aspen Glen Campground,5/17/21,NA,NA,NA,7.79,0.3,7.46,462.82,88.69,2.37,0.01,1.02,1.64,7.61,0.05,4.42,0.04,0.03,19.48,384,2021,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre Below Rustic,5/17/21,NA,NA,NA,5.74,0.41,7.31,379.75,65.89,1.93,0.03,0.98,1.54,6.12,0.06,1.93,0.3,0.03,11.79,388,2021,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above North Fork,5/17/21,NA,NA,NA,6.34,0.39,7.48,489.53,73.92,2.21,0.02,0.98,1.74,6.96,0.12,2.92,0.39,0,11.07,392,2021,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,5/17/21,NA,NA,NA,6.21,0.37,7.36,383.2,65.93,1.85,0.02,0.97,1.59,6.18,0.08,1.98,0.28,0,11.25,390,2021,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Poudre South Fork,5/17/21,NA,NA,NA,7.17,0.44,7.21,290.74,51.9,1.7,0.02,0.82,1.32,4.99,0.11,1.12,0.36,0.03,9.33,389,2021,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Barnes Meadow Outflow,5/24/21,2.1,2,NA,7.59,0.48,6.89,491.76,84.37,2.43,0.1,1.25,1.65,10.52,0.03,1.54,0.24,0,12.67,396,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Chambers Inlet,5/24/21,1,1.98,NA,5.06,0.4,7.17,422.3,77.79,2.06,0.02,1.2,2.35,9.21,0.09,1.83,0.79,0.43,12.89,394,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Outflow,5/24/21,1.9,0,NA,4.62,0.45,7.18,443.67,64.14,1.97,0.02,0.92,2.02,7.22,0.09,1.02,0.52,0.28,10.45,395,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Poudre Above Joe Wright,5/24/21,1.5,4.1,NA,7.71,0.5,6.89,215.62,40.11,1.33,0.06,0.88,1.02,4.49,0.06,0.69,0.79,0,6.43,398,2021,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
Poudre Below Rustic,5/24/21,NA,NA,NA,5.98,0.4,7.07,319.19,59.85,2.07,0.08,1.06,1.51,6.39,0.06,1.39,0.49,0,8.12,400,2021,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above North Fork,5/24/21,NA,NA,NA,7.22,0.47,7.91,517.13,72.27,2.69,0.03,1.03,1.75,7.3,0.08,1.94,0.49,0,8.14,404,2021,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,5/24/21,NA,NA,NA,6.45,0.42,7.09,330.56,56.35,2.22,0.06,1.02,1.56,6.49,0.06,1.1,0.47,0,8.02,402,2021,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Poudre South Fork,5/24/21,NA,NA,NA,8.34,0.42,7.02,263.62,44.81,2.05,0.04,0.85,1.23,4.89,0.09,0.74,0.43,0,6.67,401,2021,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Barnes Meadow Outflow,6/1/21,3.5,4,NA,7.64,0.4,6.99,446.33,75.68,2.26,0.05,1.19,1.52,9.75,0.03,1.41,0.22,0,11.24,427,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Chambers Inlet,6/1/21,2.5,4,NA,5.32,0.47,7.24,380.57,47.78,1.84,0.02,0.89,1.1,6.25,0.04,0.75,0.45,0.01,5.36,425,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Outflow,6/1/21,2,0,NA,4.03,0.36,7.17,436.78,64.81,1.71,0.03,0.98,1.43,7.03,0.04,1.01,0.37,0,6.71,426,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Poudre above Joe Wright,6/1/21,2.4,0,NA,7.99,0.47,7.05,135.12,27.16,1.19,0.02,0.66,0.78,3.58,0.05,0.53,0.51,0,4.18,429,2021,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
JWC-Joe Wright @ Aspen Glen Campground,6/1/21,NA,NA,NA,5.26,0.41,7.29,474.41,62.97,1.85,0.04,1.03,1.44,7.12,0.04,1.07,0.21,0,7.23,428,2021,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre Below Rustic,6/1/21,NA,NA,NA,6.4,0.41,7.11,290.44,46.04,1.76,0.03,0.81,1.18,4.96,0.05,1.38,0.23,0,5.47,431,2021,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above North Fork,6/1/21,NA,NA,NA,6.26,0.38,7.19,435.65,57.47,2.4,0.03,0.82,1.45,6,0.08,1.54,0.24,0,5.72,436,2021,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,6/1/21,NA,NA,NA,6.14,0.38,7.17,319.6,46.87,1.99,0.02,0.82,1.28,5.22,0.06,1.44,0.21,0,5.67,434,2021,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Poudre South Fork,6/1/21,NA,NA,NA,6.87,0.42,7,225.56,37.69,1.9,0.01,0.65,0.96,3.9,0.09,0.9,0.26,0,4.78,433,2021,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Barnes Meadow Outflow,6/2/21,NA,7.38,1.04,7.38,0.55,7.17,355.03,69.65,2.33,0.06,1.24,1.51,9.55,0.03,1.41,0.16,0,11.59,448,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Barnes Meadow Reservoir,6/2/21,NA,1.79,1.45,7.34,0.46,7.21,386.18,68.37,2.3,0.05,1.23,1.51,9.81,0.03,1.44,0.02,0,11.42,449,2021,BRNR,40.599908,-105.830604,Reservoir,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,85.149,SPRING,6,7,10
Chambers Inlet,6/2/21,NA,1.79,0.21,4.23,0.46,7.12,321.42,46.12,2.06,0.02,0.58,0.95,6.37,0.06,0.48,0.38,0,3.01,447,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Reservoir,6/2/21,NA,3.72,2.64,3.9,0.42,7.2,349.32,54.44,1.71,0.04,1,1.38,7.13,0.04,0.91,0.19,0,6.47,452,2021,CBRR,40.60438415,-105.8432698,Reservoir,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,87.814,SPRING,4 - CBRR,4,6
Chambers Outflow,6/2/21,NA,0,2.1,3.73,0.45,7.23,378.79,58.52,1.69,0.02,1.01,1.43,7.21,0.04,0.92,0.28,0,6.65,450,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Peterson Reservoir,6/2/21,NA,0,1.54,7.02,0.65,6.82,169.77,41.8,1.49,0.11,1.35,0.82,4.97,0.03,0.88,0.32,0,7.85,444,2021,PTRR,40.55936515,-105.7940034,Reservoir,Longdraw,Peterson Reservoir,Burned,0.32090379,0.305506264,91.236,SPRING,99,NA,8
Joe Wright Reservoir,6/2/21,NA,0,0.37,3.05,0.39,7.01,379.11,43.77,1.41,0.05,0.63,1.27,5.85,0.06,0.72,0.1,0,3.6,446,2021,JOER,40.55593744,-105.8749619,Reservoir,Chambers Complex,Joe Wright Reservoir,Partially Burned,0.006530549,0.048734263,93.218,SPRING,2 - JOER,2,4
Joe Wright Inlet,6/2/21,NA,1.77,0.14,4.37,0.36,6.99,275.59,32.21,1.22,0.02,0.4,1.16,4.2,0.02,1.02,0.02,0,1.35,445,2021,JOEI,40.54013102,-105.8831698,Inflow,Chambers Complex,Joe Wright Reservoir,Unburned,0.006530549,0,95.264,SPRING,1 - JOEI,1,3
Long Draw Outlet,6/2/21,NA,0,0.04,8.93,0.6,6.59,88.64,19.78,0.9,0.03,0.44,0.51,2.16,0.02,0.52,0.52,0,1.53,443,2021,LNGO,40.50368571,-105.7709459,Outflow,Longdraw,Long Draw Reservoir,Unburned,0,0,98.705,SPRING,9,NA,2
Long Draw Reservoir,6/2/21,NA,1,0.27,9.45,0.59,6.77,157.14,27.29,0.86,0.03,0.53,0.7,4.04,0.09,0.32,0.4,0,2.97,442,2021,LNGR,40.50087627,-105.7725307,Reservoir,Longdraw,Long Draw Reservoir,Unburned,0,0,100.445,SPRING,8,6,1
Barnes Meadow Outflow,6/7/21,4,NA,NA,7.42,0.54,6.86,395.63,75.49,2.28,0.06,1.17,1.45,10.19,0.03,1.44,0.1,0,11.39,455,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Chambers Inlet,6/7/21,5,NA,NA,3.99,0.36,6.81,304.73,44.7,1.42,0.05,0.62,1.49,5.85,0.06,0.64,0.35,0,3.39,453,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Outflow,6/7/21,3.75,NA,NA,3.88,0.46,6.93,375.91,51.22,1.68,0.08,0.94,1.24,6.28,0.04,0.91,0.25,0,5.84,454,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Poudre Above Joe Wright,6/7/21,4.75,NA,NA,7.14,0.59,6.67,138.15,26.6,1.07,0.03,0.51,0.59,3.36,0.08,0.38,0.59,0,3,457,2021,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
JWC-Joe Wright @ Aspen Glen Campground,6/7/21,NA,NA,NA,4.05,0.52,6.93,374.62,54.05,1.61,0.05,0.92,1.26,6.3,0.04,0.9,0.26,0,6.03,456,2021,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre Below Rustic,6/7/21,NA,NA,NA,5.69,0.48,6.85,224.31,36.4,1.51,0.03,0.66,0.92,3.99,0.06,0.69,0.34,0,4.1,459,2021,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above North Fork,6/7/21,NA,NA,NA,6.5,0.56,6.84,283.3,43.52,1.92,0.03,0.7,1.08,4.58,0.08,1.13,0.39,0,4.18,463,2021,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,6/7/21,NA,NA,NA,6.53,0.62,6.83,239.44,39.37,1.62,0.03,0.68,0.93,4.04,0.07,0.75,0.33,0,4.05,461,2021,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Poudre South Fork,6/7/21,NA,NA,NA,7.5,0.48,6.69,156.73,25.64,1.31,0.03,0.49,0.59,2.55,0.09,0.46,0.34,0,2.8,460,2021,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Barnes Meadow Outflow,6/9/21,6.4,5,2.17,7.43,0.68,6.91,429.3,75.84,2.22,0.17,1.15,1.46,9.08,0.03,1.27,0.06,0,10.25,488,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Barnes Meadow Reservoir,6/9/21,3,3,1.83,7.39,0.5,7.09,426.01,68.78,2.22,0.02,1.17,1.53,9.51,0.02,1.28,0.03,0,10.33,489,2021,BRNR,40.599908,-105.830604,Reservoir,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,85.149,SPRING,6,7,10
Chambers Inlet,6/9/21,3.6,6,0.36,3.97,0.43,6.97,296.85,39.22,1.34,0.03,0.64,0.95,5.14,0.05,0.41,0.14,0,2.66,487,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Reservoir,6/9/21,3.1,2,1.18,4.18,0.74,7.03,351.74,51.85,1.45,0.02,0.86,1.3,6.59,0.02,0.69,0.01,0,4.98,490,2021,CBRR,40.60438415,-105.8432698,Reservoir,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,87.814,SPRING,4 - CBRR,4,6
Chambers Outflow,6/9/21,3.5,2.11,1.54,4.08,0.46,7.02,332.64,47.93,1.46,0.01,0.84,1.17,6.12,0.03,0.77,0.3,0,4.7,491,2021,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Peterson Outlet,6/9/21,2.5,3,4.6,7.14,0.44,6.79,163.76,41.51,1.39,0.01,1.22,0.86,5.65,0.01,0.68,0.01,0,6.52,483,2021,PTRO,40.56063874,-105.7929021,Outflow,Longdraw,Peterson Reservoir,Burned,0.32090379,0.305506264,91.236,SPRING,999,NA,9
Peterson Reservoir,6/9/21,3.4,6,4.79,7,0.48,6.8,178.19,39.37,1.37,0.01,1.19,0.77,5.05,0.03,0.67,0.01,0,6.61,484,2021,PTRR,40.55936515,-105.7940034,Reservoir,Longdraw,Peterson Reservoir,Burned,0.32090379,0.305506264,91.236,SPRING,99,NA,8
Joe Wright Reservoir,6/9/21,3,1,0.47,3.61,0.34,6.97,371.16,45.22,1.41,0,0.59,1.26,5.83,0.03,0.53,0.04,0,3.22,486,2021,JOER,40.55593744,-105.8749619,Reservoir,Chambers Complex,Joe Wright Reservoir,Partially Burned,0.006530549,0.048734263,93.218,SPRING,2 - JOER,2,4
Joe Wright Inlet,6/9/21,3.9,2,0.18,4.38,0.33,6.96,269.76,32.2,1.07,0,0.49,1,4.33,0.06,0.26,0.18,0,1.98,485,2021,JOEI,40.54013102,-105.8831698,Inflow,Chambers Complex,Joe Wright Reservoir,Unburned,0.006530549,0,95.264,SPRING,1 - JOEI,1,3
Long Draw Outlet,6/9/21,3,0,0.64,4.32,0.53,6.82,218.84,33.55,0.81,0,0.48,0.76,4.79,0.09,0.34,0.52,0,3.5,482,2021,LNGO,40.50368571,-105.7709459,Outflow,Longdraw,Long Draw Reservoir,Unburned,0,0,98.705,SPRING,9,NA,2
Long Draw Reservoir,6/9/21,4.1,1,0.48,5.28,0.53,6.69,175.94,30.63,0.8,0.02,0.48,0.71,4.62,0.11,0.55,0.53,0,3.1,481,2021,LNGR,40.50087627,-105.7725307,Reservoir,Longdraw,Long Draw Reservoir,Unburned,0,0,100.445,SPRING,8,6,1
Barnes Meadow Outflow,6/16/21,10,6.09,2.98,7.69,0.58,6.71,398.7,68.7,2.34,0.17,1.22,1.55,9.72,0.04,1.43,0.06,0,11.23,517,2021,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SUMMER,7,NA,11
Barnes Meadow Reservoir,6/16/21,3.6,2,1.66,7.61,0.55,7.01,405.16,71.97,2.38,0.06,1.26,1.56,9.43,0.04,1.43,0.01,0,11.8,518,2021,BRNR,40.599908,-105.830604,Reservoir,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,85.149,SUMMER,6,7,10
Chambers Inlet,6/16/21,2.8,2.01,0.32,3.44,0.28,6.82,302.57,39.32,1.4,0.03,0.69,0.98,5.02,0.06,0.48,0.13,0,2.69,516,2021,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SUMMER,3 - CBRI,3,5
Chambers Reservoir,6/16/21,3.5,3,1.56,4.11,0.4,6.91,313.61,43.6,1.35,0.08,0.83,1.08,5.64,0.05,0.65,0.01,0,4.4,519,2021,CBRR,40.60438415,-105.8432698,Reservoir,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,87.814,SUMMER,4 - CBRR,4,6
