SurfTemp,sd_SurfTempSD,min_SurfTempMin,max_SurfTempMax,pCount_SurfTemp,system:index
,,,,0,1_1_1_LT05_033032_19840505_2897135
254.99963624,0.6857001341642839,253.51963358,255.72767449999998,25,1_1_1_LT05_033032_19840505_2897349
,,,,0,1_1_1_LT05_033032_19840521_2897135
287.93567696,9.272925680123716E-4,287.93567696,287.93909498,25,1_1_1_LT05_033032_19840521_2897349
,,,,0,1_1_1_LT05_033032_19840606_2897135
258.61248338,0.0,258.61248338,258.61248338,1,1_1_1_LT05_033032_19840606_2897349
295.03148648,0.8894002407284977,294.53245556,298.47343262,24,1_1_1_LT05_033032_19840622_2897135
292.35517682,0.0014598188044023237,292.35175879999997,292.35517682,25,1_1_1_LT05_033032_19840622_2897349
,,,,0,1_1_1_LT05_033032_19840708_2897135
254.73303068,0.8379507967933143,253.89903379999998,256.37368028000003,25,1_1_1_LT05_033032_19840708_2897349
,,,,0,1_1_1_LT05_033032_19840724_2897135
294.94261796,0.2088163059220891,294.94261796,295.58520572,25,1_1_1_LT05_033032_19840724_2897349
291.2750825,0.0,291.2750825,291.2750825,1,1_1_1_LT05_033032_19840825_2897135
290.506028,0.33469251852097465,290.506028,291.20330408,25,1_1_1_LT05_033032_19840825_2897349
,,,,0,1_1_1_LT05_033032_19840910_2897135
294.03000662,0.19422535884481607,294.03000662,294.55979972,25,1_1_1_LT05_033032_19840910_2897349
,,,,0,1_1_1_LT05_033032_19840926_2897135
272.2708913,2.139381941123841,268.69222436,276.29048281999997,25,1_1_1_LT05_033032_19840926_2897349
,,,,0,1_1_1_LT05_033032_19841113_2897135
277.43551951999996,0.45839509558465164,276.86471018,278.57372018,25,1_1_1_LT05_033032_19841113_2897349
,,,,0,1_1_1_LT05_033032_19850116_2897135
269.997908,0.29029918150242406,269.997908,270.5789714,25,1_1_1_LT05_033032_19850116_2897349
,,,,0,1_1_1_LT05_033032_19850201_2897135
251.19537997999998,0.5564586948182779,250.49126786,252.58309609999998,25,1_1_1_LT05_033032_19850201_2897349
246.60839714,0.4170567103569056,245.53172084,246.60839714,5,1_1_1_LT05_033032_19850217_2897135
243.52876112,0.0,243.52876112,243.52876112,25,1_1_1_LT05_033032_19850217_2897349
267.95051402,0.32379112718520087,267.85480946,268.98275606,24,1_1_1_LT05_033032_19850406_2897135
265.92362816,0.12210706039432805,265.92021014,266.5457078,25,1_1_1_LT05_033032_19850406_2897349
,,,,0,1_1_1_LT05_033032_19850422_2897135
267.86506352,0.49269498600499456,267.23956585999997,269.10238676,25,1_1_1_LT05_033032_19850422_2897349
,,,,0,1_1_1_LT05_033032_19850508_2897135
288.15101222,0.25280241580992724,288.15101222,288.6602972,25,1_1_1_LT05_033032_19850508_2897349
292.05439106,0.42542793881713276,291.54510608,293.56857392,24,1_1_1_LT05_033032_19850524_2897135
288.80727206,0.1688302044870589,288.80727206,289.3268111,25,1_1_1_LT05_033032_19850524_2897349
293.93430206,0.4084306463623495,293.39767292,295.00414232,24,1_1_1_LT05_033032_19850609_2897135
291.10759952,0.1788267299865167,290.55729829999996,291.10759952,25,1_1_1_LT05_033032_19850609_2897349
240.85245146,0.4754396163083733,240.8421974,241.94963588000002,24,1_1_1_LT05_033032_19850625_2897135
248.67288122,0.6037251308984156,248.67288122,250.64849678000002,16,1_1_1_LT05_033032_19850625_2897349
295.33910828,0.45879757289184686,294.8298233,296.84645509999996,24,1_1_1_LT05_033032_19850727_2897135
294.1633094,0.2528024156994074,294.1633094,294.67259437999996,25,1_1_1_LT05_033032_19850727_2897349
294.84349538000004,0.5853831010208784,294.35471852,296.29273586,24,1_1_1_LT05_033032_19850812_2897135
293.16524756,0.26621319783147457,292.67305267999996,293.65744243999995,25,1_1_1_LT05_033032_19850812_2897349
287.63489119999997,0.0,287.63489119999997,287.63489119999997,1,1_1_1_LT05_033032_19850828_2897135
,,,,0,1_1_1_LT05_033032_19850828_2897349
291.85272788,0.3004068200968452,291.35027894,292.35175879999997,24,1_1_1_LT05_033032_19850913_2897135
291.24432032,0.09845948200925275,291.24432032,291.74676926,25,1_1_1_LT05_033032_19850913_2897349
283.12652282,0.4646034306653684,282.58647566,284.19636307999997,24,1_1_1_LT05_033032_19851015_2897135
284.56209121999996,0.26379966517006703,284.56209121999996,285.09188431999996,22,1_1_1_LT05_033032_19851015_2897349
240.62002610000002,0.2311272366356102,239.64589039999998,240.90713978,24,1_1_1_LT05_033032_19851031_2897135
242.36663432,0.36000707743820853,241.4403509,243.28266367999998,25,1_1_1_LT05_033032_19851031_2897349
216.31106785999998,0.09541664288168832,216.24954350000002,216.56741936,24,1_1_1_LT05_033032_19851116_2897135
224.49038972,0.6571490051638618,224.49038972,226.54461974,25,1_1_1_LT05_033032_19851116_2897349
241.7650628,0.24012654802771422,241.76164477999998,242.63323988,24,1_1_1_LT05_033032_19851202_2897135
248.32424318,5.2857995836452554E-6,248.32424318,248.32424318,25,1_1_1_LT05_033032_19851202_2897349
272.81093846,0.6568459223612346,271.6385576,273.96964724,24,1_1_1_LT05_033032_19860103_2897135
275.48724812,4.950604892906572E-6,275.48724812,275.48724812,19,1_1_1_LT05_033032_19860103_2897349
218.82331255999998,1.8213533704272196,217.3774901,224.29214456,24,1_1_1_LT05_033032_19860119_2897135
220.21786472,2.096091728757313,217.90386518,224.59293032,25,1_1_1_LT05_033032_19860119_2897349
271.78211444,0.7875079425902889,271.20105104,274.0140815,24,1_1_1_LT05_033032_19860204_2897135
271.04382212,0.3732223418881899,269.87144126,271.04382212,25,1_1_1_LT05_033032_19860204_2897349
,,,,0,1_1_1_LT05_033032_19860308_2897135
260.86154053999996,0.0,260.86154053999996,260.86154053999996,1,1_1_1_LT05_033032_19860308_2897349
268.22395561999997,0.31668218017988786,268.12825106,269.27328776,24,1_1_1_LT05_033032_19860409_2897135
253.64951834,0.2744216357234821,253.64951834,254.39806471999998,25,1_1_1_LT05_033032_19860409_2897349
288.93715682,2.2775504911114814,287.40588386,297.2907977,22,1_1_1_LT05_033032_19860425_2897135
281.95755998,0.0,281.95755998,281.95755998,25,1_1_1_LT05_033032_19860425_2897349
291.4801637,1.2137578646444434,289.48745804,294.40598882,21,1_1_1_LT05_033032_19860511_2897135
283.12652282,6.823937919616057E-6,283.12652282,283.12652282,25,1_1_1_LT05_033032_19860511_2897349
,,,,0,1_1_1_LT05_033032_19860527_2897135
,,,,0,1_1_1_LT05_033032_19860527_2897349
289.01235326,1.260496820572621,286.6949357,290.17106204000004,5,1_1_1_LT05_033032_19860612_2897135
290.75554346,0.2477380896373713,290.75554346,291.27166448,25,1_1_1_LT05_033032_19860612_2897349
296.03296634000003,0.7025683636157397,295.51000927999996,298.10086844,24,1_1_1_LT05_033032_19860628_2897135
295.37670649999995,0.2544085715477541,294.85033142,295.90308158,25,1_1_1_LT05_033032_19860628_2897349
,,,,0,1_1_1_LT05_033032_19860714_2897135
,,,,0,1_1_1_LT05_033032_19860714_2897349
295.35619838,0.5071748527063227,294.8469134,296.87721727999997,24,1_1_1_LT05_033032_19860730_2897135
293.71554878,4.315837287515549E-6,293.71554878,293.71554878,25,1_1_1_LT05_033032_19860730_2897349
295.91333564,0.7971156076165068,295.42455878,298.32645776,24,1_1_1_LT05_033032_19860815_2897135
294.26585,0.23625354263857445,294.26585,294.75804488,25,1_1_1_LT05_033032_19860815_2897349
295.48266512,0.630568321890095,294.91869182,297.1540769,24,1_1_1_LT05_033032_19860831_2897135
294.31370228000003,0.2851762547726472,293.74289294,294.31370228000003,25,1_1_1_LT05_033032_19860831_2897349
211.84371572,0.7992799871280066,211.80269948,213.54588968000002,24,1_1_1_LT05_033032_19860916_2897135
205.48619852000002,0.7889166192309023,205.47936248,207.17811842,25,1_1_1_LT05_033032_19860916_2897349
275.32318316,0.26892329326955805,275.2274786,276.02729528,17,1_1_1_LT05_033032_19861002_2897135
